GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex,Application,5,3,0,0,2,1,1,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex,DatabaseInitializer,147,25,1,1,19,11,2,3,1,3
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.web,FilmWebController,183,130,5,1,39,31,10,6,7,6
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.web,UserWebController,25,9,0,0,6,4,3,1,3,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,User,24,28,0,0,10,9,6,4,6,4
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,Film,74,122,5,3,16,42,11,16,7,16
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,Review,179,10,26,0,36,4,28,1,15,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.rest,UserRestController,16,9,0,0,2,4,2,1,2,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.rest,FilmRestController,81,9,4,0,16,4,9,1,7,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,FilmService,90,139,8,6,15,28,11,10,5,9
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,UserComponent,0,13,0,0,0,4,0,2,0,2
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,FavoriteFilmService,64,21,0,0,10,7,5,2,5,2
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,UserService,24,6,0,0,4,3,4,1,4,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,ReviewService,70,18,0,0,12,7,4,1,4,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service.exceptions,FilmNotFoundException,0,5,0,0,0,2,0,1,0,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,WebErrorHandler,37,3,2,0,9,1,2,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,RestErrorHandler,36,3,5,0,5,1,4,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,UserModelAttributes,0,18,0,0,0,5,0,3,0,3
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils.AgeRatingOption,9,0,0,0,1,0,1,0,1,0
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,ImageUtils,53,13,5,1,12,4,5,2,2,2
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils,22,0,0,0,7,0,3,0,3,0
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils.AgeRating,0,49,0,0,0,10,0,3,0,3
